Label (Grouping),ZCTA5 64014!!Estimate,ZCTA5 64014!!Percent,ZCTA5 64015!!Estimate,ZCTA5 64015!!Percent,ZCTA5 64016!!Estimate,ZCTA5 64016!!Percent,ZCTA5 64029!!Estimate,ZCTA5 64029!!Percent,ZCTA5 64030!!Estimate,ZCTA5 64030!!Percent,ZCTA5 64034!!Estimate,ZCTA5 64034!!Percent,ZCTA5 64050!!Estimate,ZCTA5 64050!!Percent,ZCTA5 64052!!Estimate,ZCTA5 64052!!Percent,ZCTA5 64053!!Estimate,ZCTA5 64053!!Percent,ZCTA5 64054!!Estimate,ZCTA5 64054!!Percent,ZCTA5 64055!!Estimate,ZCTA5 64055!!Percent,ZCTA5 64056!!Estimate,ZCTA5 64056!!Percent,ZCTA5 64057!!Estimate,ZCTA5 64057!!Percent,ZCTA5 64058!!Estimate,ZCTA5 64058!!Percent,ZCTA5 64063!!Estimate,ZCTA5 64063!!Percent,ZCTA5 64064!!Estimate,ZCTA5 64064!!Percent,ZCTA5 64070!!Estimate,ZCTA5 64070!!Percent,ZCTA5 64075!!Estimate,ZCTA5 64075!!Percent,ZCTA5 64081!!Estimate,ZCTA5 64081!!Percent,ZCTA5 64082!!Estimate,ZCTA5 64082!!Percent,ZCTA5 64086!!Estimate,ZCTA5 64086!!Percent,ZCTA5 64088!!Estimate,ZCTA5 64088!!Percent,ZCTA5 64101!!Estimate,ZCTA5 64101!!Percent,ZCTA5 64102!!Estimate,ZCTA5 64102!!Percent,ZCTA5 64105!!Estimate,ZCTA5 64105!!Percent,ZCTA5 64106!!Estimate,ZCTA5 64106!!Percent,ZCTA5 64108!!Estimate,ZCTA5 64108!!Percent,ZCTA5 64109!!Estimate,ZCTA5 64109!!Percent,ZCTA5 64110!!Estimate,ZCTA5 64110!!Percent,ZCTA5 64111!!Estimate,ZCTA5 64111!!Percent,ZCTA5 64112!!Estimate,ZCTA5 64112!!Percent,ZCTA5 64113!!Estimate,ZCTA5 64113!!Percent,ZCTA5 64114!!Estimate,ZCTA5 64114!!Percent,ZCTA5 64120!!Estimate,ZCTA5 64120!!Percent,ZCTA5 64123!!Estimate,ZCTA5 64123!!Percent,ZCTA5 64124!!Estimate,ZCTA5 64124!!Percent,ZCTA5 64125!!Estimate,ZCTA5 64125!!Percent,ZCTA5 64126!!Estimate,ZCTA5 64126!!Percent,ZCTA5 64127!!Estimate,ZCTA5 64127!!Percent,ZCTA5 64128!!Estimate,ZCTA5 64128!!Percent,ZCTA5 64129!!Estimate,ZCTA5 64129!!Percent,ZCTA5 64130!!Estimate,ZCTA5 64130!!Percent,ZCTA5 64131!!Estimate,ZCTA5 64131!!Percent,ZCTA5 64132!!Estimate,ZCTA5 64132!!Percent,ZCTA5 64133!!Estimate,ZCTA5 64133!!Percent,ZCTA5 64134!!Estimate,ZCTA5 64134!!Percent,ZCTA5 64136!!Estimate,ZCTA5 64136!!Percent,ZCTA5 64137!!Estimate,ZCTA5 64137!!Percent,ZCTA5 64138!!Estimate,ZCTA5 64138!!Percent,ZCTA5 64139!!Estimate,ZCTA5 64139!!Percent,ZCTA5 64145!!Estimate,ZCTA5 64145!!Percent,ZCTA5 64146!!Estimate,ZCTA5 64146!!Percent,ZCTA5 64147!!Estimate,ZCTA5 64147!!Percent
        High school (grades 9-12),"1,777",25.80%,"1,815",22.00%,349,32.50%,"1,480",22.80%,"1,027",18.50%,533,25.50%,648,17.20%,"1,154",26.40%,425,27.00%,134,24.50%,"1,423",19.10%,828,17.60%,810,30.00%,318,18.20%,"1,235",23.10%,"1,324",27.40%,111,16.10%,597,23.20%,"1,449",24.40%,"1,445",25.30%,"1,269",20.80%,100,37.60%,0,0.00%,0,-,12,3.20%,323,15.20%,349,16.80%,359,16.50%,440,7.90%,136,4.50%,145,7.50%,708,22.20%,680,18.90%,35,23.00%,553,18.40%,606,18.30%,182,23.10%,559,33.00%,872,18.90%,947,33.30%,363,18.70%,"1,166",25.10%,981,21.30%,867,27.70%,"1,790",21.80%,"1,377",25.70%,76,22.60%,377,18.50%,"1,257",25.00%,164,22.40%,338,29.70%,0,0.00%,17,4.80%
        College or graduate school,"1,083",15.70%,"1,592",19.30%,156,14.50%,"1,017",15.70%,"1,243",22.40%,426,20.40%,673,17.80%,581,13.30%,151,9.60%,134,24.50%,"1,641",22.00%,660,14.00%,577,21.30%,312,17.80%,"1,209",22.60%,690,14.30%,144,20.90%,358,13.90%,"1,180",19.90%,859,15.10%,"1,378",22.60%,36,13.50%,16,100.00%,0,-,351,93.60%,646,30.30%,931,44.80%,857,39.40%,"3,171",57.10%,"2,077",69.10%,"1,197",62.20%,280,8.80%,866,24.10%,30,19.70%,471,15.70%,610,18.50%,80,10.20%,247,14.60%,675,14.70%,232,8.20%,430,22.10%,777,16.70%,"1,353",29.30%,738,23.60%,"1,568",19.10%,"1,028",19.20%,62,18.50%,630,30.90%,977,19.40%,114,15.60%,415,36.50%,32,41.00%,93,26.40%
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 25 years and over,"18,633","18,633","21,450","21,450","3,175","3,175","13,429","13,429","17,562","17,562","6,126","6,126","15,206","15,206","15,359","15,359","4,083","4,083","2,236","2,236","25,606","25,606","11,155","11,155","10,589","10,589","4,566","4,566","14,204","14,204","13,369","13,369","2,239","2,239","8,132","8,132","17,478","17,478","12,441","12,441","16,233","16,233",887,887,77,77,0,0,"4,467","4,467","7,173","7,173","7,194","7,194","6,803","6,803","10,784","10,784","13,891","13,891","6,448","6,448","8,701","8,701","19,798","19,798",405,405,"6,620","6,620","6,639","6,639","1,085","1,085","3,545","3,545","11,150","11,150","7,905","7,905","5,392","5,392","12,912","12,912","15,650","15,650","7,817","7,817","26,353","26,353","14,252","14,252","1,072","1,072","7,097","7,097","16,979","16,979","1,562","1,562","3,712","3,712","1,057","1,057",137,137
        Less than 9th grade,92,0.50%,324,1.50%,81,2.60%,136,1.00%,445,2.50%,116,1.90%,515,3.40%,648,4.20%,195,4.80%,30,1.30%,537,2.10%,265,2.40%,185,1.70%,135,3.00%,157,1.10%,133,1.00%,10,0.40%,256,3.10%,183,1.00%,52,0.40%,171,1.10%,11,1.20%,0,0.00%,0,-,17,0.40%,260,3.60%,309,4.30%,374,5.50%,125,1.20%,83,0.60%,15,0.20%,0,0.00%,225,1.10%,66,16.30%,596,9.00%,"1,352",20.40%,149,13.70%,692,19.50%,"1,258",11.30%,289,3.70%,55,1.00%,508,3.90%,372,2.40%,384,4.90%,545,2.10%,436,3.10%,16,1.50%,129,1.80%,280,1.60%,20,1.30%,30,0.80%,0,0.00%,0,0.00%
"        9th to 12th grade, no diploma",724,3.90%,585,2.70%,259,8.20%,370,2.80%,"1,193",6.80%,94,1.50%,"1,152",7.60%,"1,148",7.50%,722,17.70%,390,17.40%,"1,622",6.30%,847,7.60%,512,4.80%,291,6.40%,474,3.30%,44,0.30%,62,2.80%,583,7.20%,171,1.00%,155,1.20%,500,3.10%,51,5.70%,4,5.20%,0,-,51,1.10%,483,6.70%,360,5.00%,537,7.90%,404,3.70%,453,3.30%,94,1.50%,3,0.00%,249,1.30%,11,2.70%,"1,036",15.60%,698,10.50%,253,23.30%,486,13.70%,"1,737",15.60%,993,12.60%,299,5.50%,"1,437",11.10%,"1,109",7.10%,743,9.50%,"1,439",5.50%,887,6.20%,33,3.10%,297,4.20%,850,5.00%,11,0.70%,58,1.60%,40,3.80%,23,16.80%
        High school graduate (includes equivalency),"4,739",25.40%,"6,743",31.40%,"1,187",37.40%,"4,656",34.70%,"5,657",32.20%,"1,185",19.30%,"6,481",42.60%,"5,756",37.50%,"1,874",45.90%,764,34.20%,"9,422",36.80%,"4,225",37.90%,"3,784",35.70%,"1,671",36.60%,"3,436",24.20%,"2,460",18.40%,616,27.50%,"2,953",36.30%,"2,956",16.90%,"2,003",16.10%,"3,309",20.40%,381,43.00%,24,31.20%,0,-,345,7.70%,"1,851",25.80%,"1,254",17.40%,"1,976",29.00%,"2,171",20.10%,"1,814",13.10%,411,6.40%,248,2.90%,"2,832",14.30%,45,11.10%,"2,006",30.30%,"1,770",26.70%,365,33.60%,"1,180",33.30%,"4,052",36.30%,"3,721",47.10%,"1,966",36.50%,"5,535",42.90%,"3,731",23.80%,"3,005",38.40%,"9,168",34.80%,"4,547",31.90%,196,18.30%,"1,616",22.80%,"5,923",34.90%,403,25.80%,525,14.10%,203,19.20%,84,61.30%
"        Some college, no degree","5,052",27.10%,"5,124",23.90%,528,16.60%,"2,888",21.50%,"4,485",25.50%,"1,642",26.80%,"3,881",25.50%,"4,531",29.50%,630,15.40%,606,27.10%,"5,952",23.20%,"2,424",21.70%,"2,359",22.30%,"1,352",29.60%,"3,472",24.40%,"2,839",21.20%,452,20.20%,"1,923",23.60%,"3,850",22.00%,"2,166",17.40%,"3,141",19.30%,178,20.10%,0,0.00%,0,-,749,16.80%,"1,072",14.90%,"1,262",17.50%,997,14.70%,"2,251",20.90%,"1,685",12.10%,797,12.40%,844,9.70%,"4,500",22.70%,68,16.80%,"1,136",17.20%,"1,346",20.30%,176,16.20%,467,13.20%,"2,705",24.30%,"1,706",21.60%,"1,355",25.10%,"3,117",24.10%,"3,474",22.20%,"2,315",29.60%,"7,034",26.70%,"4,235",29.70%,274,25.60%,"1,763",24.80%,"4,695",27.70%,387,24.80%,781,21.00%,141,13.30%,22,16.10%
        Associate's degree,"1,522",8.20%,"1,613",7.50%,354,11.10%,"1,362",10.10%,"1,635",9.30%,634,10.30%,"1,229",8.10%,912,5.90%,235,5.80%,82,3.70%,"2,466",9.60%,"1,300",11.70%,879,8.30%,333,7.30%,"1,735",12.20%,758,5.70%,220,9.80%,845,10.40%,"1,511",8.60%,"1,097",8.80%,"1,274",7.80%,121,13.60%,17,22.10%,0,-,192,4.30%,361,5.00%,445,6.20%,448,6.60%,545,5.10%,615,4.40%,238,3.70%,228,2.60%,"1,221",6.20%,24,5.90%,627,9.50%,254,3.80%,51,4.70%,517,14.60%,498,4.50%,443,5.60%,859,15.90%,844,6.50%,944,6.00%,654,8.40%,"2,080",7.90%,"1,302",9.10%,101,9.40%,427,6.00%,"1,545",9.10%,76,4.90%,138,3.70%,92,8.70%,0,0.00%
        Bachelor's degree,"4,304",23.10%,"4,431",20.70%,559,17.60%,"2,473",18.40%,"2,832",16.10%,"1,585",25.90%,"1,321",8.70%,"1,659",10.80%,286,7.00%,286,12.80%,"3,449",13.50%,"1,553",13.90%,"1,702",16.10%,553,12.10%,"3,114",21.90%,"4,124",30.80%,643,28.70%,"1,020",12.50%,"5,216",29.80%,"4,300",34.60%,"4,960",30.60%,118,13.30%,32,41.60%,0,-,"1,895",42.40%,"2,281",31.80%,"1,979",27.50%,"1,632",24.00%,"3,127",29.00%,"5,632",40.50%,"2,608",40.40%,"3,467",39.80%,"6,798",34.30%,162,40.00%,717,10.80%,770,11.60%,28,2.60%,134,3.80%,471,4.20%,549,6.90%,487,9.00%,969,7.50%,"4,041",25.80%,545,7.00%,"4,166",15.80%,"1,984",13.90%,384,35.80%,"2,006",28.30%,"2,611",15.40%,402,25.70%,"1,245",33.50%,436,41.20%,8,5.80%
        Graduate or professional degree,"2,200",11.80%,"2,630",12.30%,207,6.50%,"1,544",11.50%,"1,315",7.50%,870,14.20%,627,4.10%,705,4.60%,141,3.50%,78,3.50%,"2,158",8.40%,541,4.80%,"1,168",11.00%,231,5.10%,"1,816",12.80%,"3,011",22.50%,236,10.50%,552,6.80%,"3,591",20.50%,"2,668",21.40%,"2,878",17.70%,27,3.00%,0,0.00%,0,-,"1,218",27.30%,865,12.10%,"1,585",22.00%,839,12.30%,"2,161",20.00%,"3,609",26.00%,"2,285",35.40%,"3,911",44.90%,"3,973",20.10%,29,7.20%,502,7.60%,449,6.80%,63,5.80%,69,1.90%,429,3.80%,204,2.60%,371,6.90%,502,3.90%,"1,979",12.60%,171,2.20%,"1,921",7.30%,861,6.00%,68,6.30%,859,12.10%,"1,075",6.30%,263,16.80%,935,25.20%,145,13.70%,0,0.00%
        High school graduate or higher,"17,817",95.60%,"20,541",95.80%,"2,835",89.30%,"12,923",96.20%,"15,924",90.70%,"5,916",96.60%,"13,539",89.00%,"13,563",88.30%,"3,166",77.50%,"1,816",81.20%,"23,447",91.60%,"10,043",90.00%,"9,892",93.40%,"4,140",90.70%,"13,573",95.60%,"13,192",98.70%,"2,167",96.80%,"7,293",89.70%,"17,124",98.00%,"12,234",98.30%,"15,562",95.90%,825,93.00%,73,94.80%,0,-,"4,399",98.50%,"6,430",89.60%,"6,525",90.70%,"5,892",86.60%,"10,255",95.10%,"13,355",96.10%,"6,339",98.30%,"8,698",100.00%,"19,324",97.60%,328,81.00%,"4,988",75.30%,"4,589",69.10%,683,62.90%,"2,367",66.80%,"8,155",73.10%,"6,623",83.80%,"5,038",93.40%,"10,967",84.90%,"14,169",90.50%,"6,690",85.60%,"24,369",92.50%,"12,929",90.70%,"1,023",95.40%,"6,671",94.00%,"15,849",93.30%,"1,531",98.00%,"3,624",97.60%,"1,017",96.20%,114,83.20%
        Bachelor's degree or higher,"6,504",34.90%,"7,061",32.90%,766,24.10%,"4,017",29.90%,"4,147",23.60%,"2,455",40.10%,"1,948",12.80%,"2,364",15.40%,427,10.50%,364,16.30%,"5,607",21.90%,"2,094",18.80%,"2,870",27.10%,784,17.20%,"4,930",34.70%,"7,135",53.40%,879,39.30%,"1,572",19.30%,"8,807",50.40%,"6,968",56.00%,"7,838",48.30%,145,16.30%,32,41.60%,0,-,"3,113",69.70%,"3,146",43.90%,"3,564",49.50%,"2,471",36.30%,"5,288",49.00%,"9,241",66.50%,"4,893",75.90%,"7,378",84.80%,"10,771",54.40%,191,47.20%,"1,219",18.40%,"1,219",18.40%,91,8.40%,203,5.70%,900,8.10%,753,9.50%,858,15.90%,"1,471",11.40%,"6,020",38.50%,716,9.20%,"6,087",23.10%,"2,845",20.00%,452,42.20%,"2,865",40.40%,"3,686",21.70%,665,42.60%,"2,180",58.70%,581,55.00%,8,5.80%
VETERAN STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Civilian population 18 years and over,"20,367","20,367","23,751","23,751","3,477","3,477","15,066","15,066","19,750","19,750","6,651","6,651","17,163","17,163","17,074","17,074","4,536","4,536","2,435","2,435","28,650","28,650","12,348","12,348","11,751","11,751","4,812","4,812","15,768","15,768","14,390","14,390","2,407","2,407","9,028","9,028","18,885","18,885","13,636","13,636","18,032","18,032","1,010","1,010",113,113,0,0,"5,376","5,376","8,643","8,643","8,367","8,367","8,392","8,392","14,579","14,579","15,869","15,869","7,820","7,820","8,986","8,986","20,902","20,902",461,461,"7,444","7,444","7,709","7,709","1,435","1,435","4,004","4,004","12,521","12,521","9,016","9,016","6,255","6,255","14,787","14,787","17,836","17,836","8,945","8,945","28,891","28,891","16,524","16,524","1,232","1,232","7,917","7,917","19,255","19,255","1,741","1,741","4,283","4,283","1,073","1,073",314,314
        Civilian veterans,"1,731",8.50%,"2,254",9.50%,244,7.00%,803,5.30%,"1,387",7.00%,594,8.90%,"1,579",9.20%,"1,456",8.50%,446,9.80%,198,8.10%,"2,029",7.10%,853,6.90%,"1,108",9.40%,310,6.40%,"1,339",8.50%,"1,030",7.20%,317,13.20%,531,5.90%,"1,460",7.70%,948,7.00%,"1,250",6.90%,49,4.90%,2,1.80%,0,-,147,2.70%,384,4.40%,327,3.90%,351,4.20%,544,3.70%,457,2.90%,385,4.90%,421,4.70%,"1,194",5.70%,25,5.40%,315,4.20%,234,3.00%,30,2.10%,190,4.70%,462,3.70%,716,7.90%,338,5.40%,997,6.70%,"1,138",6.40%,367,4.10%,"2,395",8.30%,"1,381",8.40%,116,9.40%,503,6.40%,"1,508",7.80%,38,2.20%,310,7.20%,64,6.00%,9,2.90%
DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total Civilian Noninstitutionalized Population,"27,784","27,784","31,915","31,915","4,628","4,628","21,282","21,282","25,631","25,631","8,660","8,660","20,779","20,779","22,183","22,183","6,383","6,383","3,100","3,100","36,018","36,018","18,098","18,098","13,880","13,880","6,618","6,618","21,040","21,040","19,621","19,621","3,033","3,033","11,681","11,681","24,540","24,540","19,246","19,246","23,902","23,902","1,325","1,325",65,65,0,0,"5,499","5,499","9,958","9,958","9,519","9,519","10,101","10,101","17,593","17,593","16,902","16,902","8,577","8,577","12,446","12,446","24,713","24,713",580,580,"10,458","10,458","11,081","11,081","2,334","2,334","5,590","5,590","17,592","17,592","12,514","12,514","8,324","8,324","19,405","19,405","21,902","21,902","12,064","12,064","37,079","37,079","22,982","22,982","1,585","1,585","10,014","10,014","23,977","23,977","2,158","2,158","4,891","4,891","1,233","1,233",581,581
        With a disability,"2,923",10.50%,"3,339",10.50%,788,17.00%,"2,157",10.10%,"3,607",14.10%,657,7.60%,"4,235",20.40%,"3,674",16.60%,"1,272",19.90%,610,19.70%,"5,118",14.20%,"2,454",13.60%,"2,079",15.00%,946,14.30%,"2,133",10.10%,"1,570",8.00%,239,7.90%,"1,685",14.40%,"2,554",10.40%,"1,526",7.90%,"1,922",8.00%,121,9.10%,0,0.00%,0,-,420,7.60%,"1,313",13.20%,"1,141",12.00%,"1,319",13.10%,"2,109",12.00%,"1,502",8.90%,593,6.90%,562,4.50%,"2,725",11.00%,65,11.20%,"1,275",12.20%,"1,681",15.20%,346,14.80%,732,13.10%,"3,318",18.90%,"2,370",18.90%,"1,003",12.00%,"3,315",17.10%,"3,064",14.00%,"2,422",20.10%,"5,533",14.90%,"3,278",14.30%,167,10.50%,"1,003",10.00%,"3,472",14.50%,150,7.00%,846,17.30%,160,13.00%,107,18.40%
    Under 18 years,"7,597","7,597","8,210","8,210","1,151","1,151","6,246","6,246","5,986","5,986","2,009","2,009","4,117","4,117","5,157","5,157","1,847","1,847",665,665,"7,453","7,453","5,750","5,750","2,531","2,531","1,856","1,856","5,273","5,273","5,376","5,376",626,626,"2,734","2,734","6,007","6,007","5,611","5,611","5,870","5,870",315,315,0,0,0,0,123,123,"2,138","2,138","1,361","1,361","1,727","1,727","3,014","3,014","1,279","1,279",758,758,"3,460","3,460","3,999","3,999",119,119,"3,092","3,092","3,372","3,372",899,899,"1,586","1,586","5,082","5,082","3,503","3,503","2,074","2,074","4,810","4,810","4,465","4,465","3,219","3,219","8,515","8,515","6,468","6,468",448,448,"2,232","2,232","4,922","4,922",586,586,800,800,161,161,267,267
        With a disability,440,5.80%,251,3.10%,97,8.40%,310,5.00%,204,3.40%,91,4.50%,282,6.80%,334,6.50%,14,0.80%,13,2.00%,373,5.00%,252,4.40%,94,3.70%,122,6.60%,225,4.30%,78,1.50%,14,2.20%,79,2.90%,211,3.50%,121,2.20%,217,3.70%,2,0.60%,0,-,0,-,29,23.60%,15,0.70%,61,4.50%,33,1.90%,104,3.50%,0,0.00%,27,3.60%,65,1.90%,219,5.50%,0,0.00%,154,5.00%,204,6.00%,0,0.00%,27,1.70%,309,6.10%,113,3.20%,34,1.60%,158,3.30%,233,5.20%,280,8.70%,220,2.60%,229,3.50%,0,0.00%,92,4.10%,100,2.00%,10,1.70%,48,6.00%,0,0.00%,36,13.50%
    18 to 64 years,"16,670","16,670","18,121","18,121","2,658","2,658","12,351","12,351","15,834","15,834","5,359","5,359","12,928","12,928","13,763","13,763","3,997","3,997","1,926","1,926","20,516","20,516","10,445","10,445","8,053","8,053","3,888","3,888","13,400","13,400","10,643","10,643","1,754","1,754","7,181","7,181","13,821","13,821","11,333","11,333","14,595","14,595",808,808,65,65,0,0,"5,044","5,044","7,212","7,212","7,054","7,054","7,426","7,426","12,797","12,797","13,656","13,656","6,169","6,169","6,961","6,961","15,595","15,595",440,440,"6,714","6,714","6,827","6,827","1,272","1,272","3,461","3,461","10,216","10,216","6,899","6,899","5,054","5,054","10,882","10,882","14,116","14,116","7,179","7,179","22,639","22,639","13,562","13,562",814,814,"6,415","6,415","15,013","15,013","1,357","1,357","2,676","2,676",671,671,314,314
        With a disability,"1,423",8.50%,"1,439",7.90%,447,16.80%,"1,084",8.80%,"2,300",14.50%,266,5.00%,"2,117",16.40%,"1,816",13.20%,967,24.20%,386,20.00%,"2,222",10.80%,"1,430",13.70%,959,11.90%,480,12.30%,"1,047",7.80%,711,6.70%,87,5.00%,999,13.90%,979,7.10%,857,7.60%,924,6.30%,59,7.30%,0,0.00%,0,-,260,5.20%,"1,012",14.00%,697,9.90%,"1,049",14.10%,"1,408",11.00%,939,6.90%,273,4.40%,193,2.80%,"1,006",6.50%,58,13.20%,851,12.70%,"1,023",15.00%,282,22.20%,399,11.50%,"1,965",19.20%,"1,303",18.90%,547,10.80%,"1,810",16.60%,"1,630",11.50%,"1,282",17.90%,"3,172",14.00%,"2,142",15.80%,44,5.40%,481,7.50%,"1,837",12.20%,104,7.70%,307,11.50%,96,14.30%,71,22.60%
    65 years and over,"3,517","3,517","5,584","5,584",819,819,"2,685","2,685","3,811","3,811","1,292","1,292","3,734","3,734","3,263","3,263",539,539,509,509,"8,049","8,049","1,903","1,903","3,296","3,296",874,874,"2,367","2,367","3,602","3,602",653,653,"1,766","1,766","4,712","4,712","2,302","2,302","3,437","3,437",202,202,0,0,0,0,332,332,608,608,"1,104","1,104",948,948,"1,782","1,782","1,967","1,967","1,650","1,650","2,025","2,025","5,119","5,119",21,21,652,652,882,882,163,163,543,543,"2,294","2,294","2,112","2,112","1,196","1,196","3,713","3,713","3,321","3,321","1,666","1,666","5,925","5,925","2,952","2,952",323,323,"1,367","1,367","4,042","4,042",215,215,"1,415","1,415",401,401,0,0
        With a disability,"1,060",30.10%,"1,649",29.50%,244,29.80%,763,28.40%,"1,103",28.90%,300,23.20%,"1,836",49.20%,"1,524",46.70%,291,54.00%,211,41.50%,"2,523",31.30%,772,40.60%,"1,026",31.10%,344,39.40%,861,36.40%,781,21.70%,138,21.10%,607,34.40%,"1,364",28.90%,548,23.80%,781,22.70%,60,29.70%,0,-,0,-,131,39.50%,286,47.00%,383,34.70%,237,25.00%,597,33.50%,563,28.60%,293,17.80%,304,15.00%,"1,500",29.30%,7,33.30%,270,41.40%,454,51.50%,64,39.30%,306,56.40%,"1,044",45.50%,954,45.20%,422,35.30%,"1,347",36.30%,"1,201",36.20%,860,51.60%,"2,141",36.10%,907,30.70%,123,38.10%,430,31.50%,"1,535",38.00%,36,16.70%,491,34.70%,64,16.00%,0,-
RESIDENCE 1 YEAR AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Population 1 year and over,"27,741","27,741","31,626","31,626","4,551","4,551","21,111","21,111","25,477","25,477","8,632","8,632","21,042","21,042","22,042","22,042","6,335","6,335","3,090","3,090","35,995","35,995","17,880","17,880","14,189","14,189","6,644","6,644","20,873","20,873","19,568","19,568","3,008","3,008","11,635","11,635","24,797","24,797","19,053","19,053","23,666","23,666","1,303","1,303",113,113,0,0,"5,494","5,494","10,734","10,734","9,743","9,743","10,049","10,049","17,532","17,532","17,029","17,029","8,564","8,564","12,301","12,301","24,563","24,563",580,580,"10,438","10,438","10,775","10,775","2,249","2,249","5,590","5,590","17,381","17,381","12,352","12,352","8,333","8,333","19,405","19,405","21,971","21,971","11,981","11,981","36,954","36,954","22,692","22,692","1,614","1,614","9,873","9,873","23,947","23,947","2,313","2,313","5,091","5,091","1,234","1,234",581,581
        Same house,"23,718",85.50%,"27,824",88.00%,"4,084",89.70%,"18,965",89.80%,"22,100",86.70%,"8,041",93.20%,"18,855",89.60%,"19,505",88.50%,"5,842",92.20%,"2,728",88.30%,"32,229",89.50%,"16,396",91.70%,"12,656",89.20%,"6,202",93.30%,"18,220",87.30%,"16,778",85.70%,"2,844",94.50%,"10,795",92.80%,"21,793",87.90%,"16,812",88.20%,"20,211",85.40%,"1,273",97.70%,15,13.30%,0,-,"3,418",62.20%,"7,152",66.60%,"7,134",73.20%,"7,901",78.60%,"13,345",76.10%,"12,239",71.90%,"5,872",68.60%,"11,220",91.20%,"21,161",86.10%,429,74.00%,"9,729",93.20%,"9,311",86.40%,"2,028",90.20%,"5,117",91.50%,"15,147",87.10%,"10,624",86.00%,"7,037",84.40%,"17,037",87.80%,"17,767",80.90%,"9,698",80.90%,"33,767",91.40%,"19,346",85.30%,"1,296",80.30%,"7,459",75.50%,"21,067",88.00%,"1,950",84.30%,"4,175",82.00%,"1,122",90.90%,550,94.70%
        Different house (in the U.S. or abroad),"4,023",14.50%,"3,802",12.00%,467,10.30%,"2,146",10.20%,"3,377",13.30%,591,6.80%,"2,187",10.40%,"2,537",11.50%,493,7.80%,362,11.70%,"3,766",10.50%,"1,484",8.30%,"1,533",10.80%,442,6.70%,"2,653",12.70%,"2,790",14.30%,164,5.50%,840,7.20%,"3,004",12.10%,"2,241",11.80%,"3,455",14.60%,30,2.30%,98,86.70%,0,-,"2,076",37.80%,"3,582",33.40%,"2,609",26.80%,"2,148",21.40%,"4,187",23.90%,"4,790",28.10%,"2,692",31.40%,"1,081",8.80%,"3,402",13.90%,151,26.00%,709,6.80%,"1,464",13.60%,221,9.80%,473,8.50%,"2,234",12.90%,"1,728",14.00%,"1,296",15.60%,"2,368",12.20%,"4,204",19.10%,"2,283",19.10%,"3,187",8.60%,"3,346",14.70%,318,19.70%,"2,414",24.50%,"2,880",12.00%,363,15.70%,916,18.00%,112,9.10%,31,5.30%
            Different house in the U.S.,"4,011",14.50%,"3,763",11.90%,467,10.30%,"2,138",10.10%,"3,261",12.80%,585,6.80%,"2,180",10.40%,"2,306",10.50%,493,7.80%,362,11.70%,"3,741",10.40%,"1,484",8.30%,"1,478",10.40%,442,6.70%,"2,637",12.60%,"2,777",14.20%,164,5.50%,833,7.20%,"3,004",12.10%,"2,223",11.70%,"3,455",14.60%,30,2.30%,98,86.70%,0,-,"2,035",37.00%,"2,958",27.60%,"2,588",26.60%,"2,042",20.30%,"4,076",23.20%,"4,732",27.80%,"2,602",30.40%,"1,081",8.80%,"3,362",13.70%,151,26.00%,694,6.60%,"1,361",12.60%,221,9.80%,473,8.50%,"2,071",11.90%,"1,614",13.10%,"1,296",15.60%,"2,368",12.20%,"4,175",19.00%,"2,229",18.60%,"3,182",8.60%,"3,290",14.50%,318,19.70%,"2,284",23.10%,"2,807",11.70%,363,15.70%,905,17.80%,112,9.10%,31,5.30%
